Date,Expiry Date,Option Type,Strike Price,Open Price,High Price,Low Price,Close Price,Last Price,Settlement Price,Volume,Value  (₹ Lakhs) ,Premium Value  (₹ Lakhs) ,Open Interest,Change in OI
27-Mar-2026,28-Apr-2026,XX,"-","23,308.00","23,319.90","22,888.00","22,908.70","22,894.80","22,908.70",9515805,"2,19,26,35,06,566.00","2,19,26,35,06,566.00",14345565,5902910
27-Mar-2026,30-Mar-2026,XX,"-","23,160.00","23,168.50","22,794.90","22,816.60","22,801.70","22,816.60",10742420,"2,46,43,99,58,453.00","2,46,43,99,58,453.00",9052485,-3935555
27-Mar-2026,26-May-2026,XX,"-","23,450.00","23,450.10","23,025.00","23,043.90","23,030.00","23,043.90",762580,"17,69,12,44,174.50","17,69,12,44,174.50",1871610,238615
25-Mar-2026,28-Apr-2026,XX,"-","23,210.00","23,589.00","23,193.90","23,427.20","23,445.00","23,427.20",4772495,"1,11,98,52,44,052.50","1,11,98,52,44,052.50",8442655,2323100
25-Mar-2026,26-May-2026,XX,"-","23,299.90","23,700.00","23,299.80","23,547.10","23,555.00","23,547.10",579150,"13,64,22,05,655.00","13,64,22,05,655.00",1632995,-38285
25-Mar-2026,30-Mar-2026,XX,"-","23,075.00","23,460.50","23,064.00","23,300.00","23,310.10","23,300.00",9284145,"2,16,57,66,99,059.50","2,16,57,66,99,059.50",12988040,-2525835
24-Mar-2026,28-Apr-2026,XX,"-","22,990.00","23,179.00","22,740.40","23,055.90","23,105.90","23,055.90",3968120,"91,22,26,25,429.00","91,22,26,25,429.00",6119555,1515280
24-Mar-2026,30-Mar-2026,XX,"-","22,840.00","23,061.00","22,617.00","22,928.40","22,984.00","22,928.40",10856755,"2,48,17,48,22,168.00","2,48,17,48,22,168.00",15513875,-1568710
24-Mar-2026,26-May-2026,XX,"-","23,000.00","23,301.00","22,880.00","23,184.30","23,235.00","23,184.30",654030,"15,11,67,86,971.00","15,11,67,86,971.00",1671280,70590
23-Mar-2026,28-Apr-2026,XX,"-","22,920.00","23,000.00","22,610.00","22,648.20","22,625.10","22,648.20",2660125,"60,44,16,05,978.00","60,44,16,05,978.00",4604275,671255
23-Mar-2026,26-May-2026,XX,"-","23,239.90","23,239.90","22,750.00","22,788.30","22,770.00","22,788.30",862160,"19,71,35,30,271.50","19,71,35,30,271.50",1600690,187525
23-Mar-2026,30-Mar-2026,XX,"-","22,821.00","22,839.90","22,471.00","22,514.90","22,497.80","22,514.90",8772270,"1,98,20,89,98,910.00","1,98,20,89,98,910.00",17082585,-80600
20-Mar-2026,28-Apr-2026,XX,"-","23,300.00","23,517.60","23,211.70","23,274.30","23,276.00","23,274.30",1890915,"44,15,87,36,394.50","44,15,87,36,394.50",3933020,542100
20-Mar-2026,30-Mar-2026,XX,"-","23,180.00","23,378.00","23,069.10","23,140.50","23,146.00","23,140.50",8900580,"2,06,79,58,63,716.00","2,06,79,58,63,716.00",17163185,48945
20-Mar-2026,26-May-2026,XX,"-","23,450.00","23,653.00","23,360.00","23,422.10","23,418.00","23,422.10",404820,"9,51,70,22,625.50","9,51,70,22,625.50",1413165,21190
19-Mar-2026,28-Apr-2026,XX,"-","23,605.00","23,605.00","23,091.10","23,198.40","23,270.00","23,198.40",1909505,"44,55,01,74,467.50","44,55,01,74,467.50",3390920,535080
19-Mar-2026,26-May-2026,XX,"-","23,768.00","23,768.00","23,235.00","23,333.00","23,410.90","23,333.00",720330,"16,91,23,38,423.50","16,91,23,38,423.50",1391975,115765
19-Mar-2026,30-Mar-2026,XX,"-","23,340.00","23,391.40","22,940.20","23,054.80","23,125.70","23,054.80",9348170,"2,16,89,90,48,619.50","2,16,89,90,48,619.50",17114240,-338715
18-Mar-2026,26-May-2026,XX,"-","23,940.00","24,146.00","23,928.10","24,051.60","24,047.70","24,051.60",314405,"7,56,25,62,182.50","7,56,25,62,182.50",1276210,19110
18-Mar-2026,28-Apr-2026,XX,"-","23,750.00","24,015.00","23,750.00","23,922.70","23,912.10","23,922.70",945555,"22,61,94,07,739.50","22,61,94,07,739.50",2855840,-17225
18-Mar-2026,30-Mar-2026,XX,"-","23,662.10","23,875.70","23,648.80","23,776.40","23,774.40","23,776.40",6840015,"1,62,61,26,08,983.50","1,62,61,26,08,983.50",17452955,-338000
